year,installed_capacity_mw,electricity_generated_g_wh
2009,8004,25244
2010,9256,26180.26
2011,12382,35212.17
2012,15651,41248.54
2013,19961,53213.77
2014,24921,64522.33
2015,30965.77,83363.82999999999
2016,35650.740000000005,82990.49
2017,40292.56,98878.62
2018,44173.700000000004,110130.33000000002
2019,47018.31999999999,119725.98000000001
2020,48147.74999999999,133624.88
2021,50015.57000000001,122477.31
2022,53618.650000000016,135227.81000000003
2023,56730.12000000002,136757.8
2024,61351.91,143707.72000000003
